"","bowler_name","Role","Amount","Team","Year","Player Origin","bowler_type","bowler_category","matches","balls_bowled","overs_bowled","runs_conceded","wickets","economy","bowling_sr"
"41","Akshdeep Nath","All-Rounder",1e+06,"Gujarat Lions",2017,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Akshdeep Nath","All-Rounder",1e+07,"Kings XI Punjab",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Akshdeep Nath","All-Rounder",3.6e+07,"Royal Challengers Bangalore",2019,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Albie Morkel","All-Rounder",2.4e+07,"Royal Challengers Bangalore",2014,"Overseas","RFM","Pacer",26,438,"73.0",590,20,"8.08","21.90"
"45","Albie Morkel","All-Rounder",3e+06,"Delhi Daredevils",2015,"Overseas","RFM","Pacer",26,438,"73.0",590,20,"8.08","21.90"
"46","Alex Carey","Wicket Keeper",2.4e+07,"Delhi Capitals",2020,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Alex Hales","Batsman",1.5e+07,"Kolkata Knight Riders",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Alzarri Joseph","Bowler",2.4e+07,"Gujarat Titans",2022,"Overseas",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Aman Khan","All-Rounder",2e+06,"Kolkata Knight Riders",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Ambati Rayudu","Wicket Keeper",2.2e+07,"Chennai Super Kings",2018,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Ambati Rayudu","Wicket Keeper",67500000,"Chennai Super Kings",2022,"Indian",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Amit Mishra","Bowler",1e+06,"Rajasthan Royals",2014,"Indian","LS","Spinner",60,1270,"211.4",1559,63,"7.37","20.16"
